0,1,2,3,4,key
1247,14597,32647,48297,62697,10000000000_1_4_PRS
24278,284188,635602,940290,1220643,10000000000_1_4_AC1
1247,14597,32647,48297,62697,10000000000_1_4_WTF
33665,394069,881356,1303851,1692601,10000000000_1_4_CV1
26371,308682,690384,1021333,1325849,10000000000_1_4_GYR
60251,705277,1577390,2333543,3029301,10000000000_1_4_CTR
60943,713373,1595497,2360331,3064076,10000000000_1_4_CTB
33998,397968,890077,1316753,1709350,10000000000_1_4_VRY
166077,795640,1650376,2277642,3116295,10000000000_1_5_SMG
3614,17314,35914,49564,67814,10000000000_1_5_PRS
70461,337562,700195,966321,1322131,10000000000_1_5_AC1
3617,17329,35944,49605,67869,10000000000_1_5_WTF
97625,467700,970138,1338862,1831846,10000000000_1_5_CV1
76588,366919,761090,1050361,1437115,10000000000_1_5_GYR
174740,837144,1736467,2396453,3278853,10000000000_1_5_CTR
176727,846666,1756217,2423711,3316147,10000000000_1_5_CTB
98601,472376,979838,1352249,1850162,10000000000_1_5_VRY
114069,681883,1603718,2240498,2934748,10000000000_2_1_SMG
2481,14831,34881,48732,63831,10000000000_2_1_PRS
48464,289709,681367,951913,1246876,10000000000_2_1_AC1
2481,14831,34881,48732,63831,10000000000_2_1_WTF
67060,400873,942811,1317167,1725310,10000000000_2_1_CV1
52434,313439,737175,1029881,1349005,10000000000_2_1_GYR
119971,717163,1686694,2356420,3086590,10000000000_2_1_CTR
121336,725321,1705881,2383225,3121702,10000000000_2_1_CTB
67717,404797,952041,1330062,1742201,10000000000_2_1_VRY
120062,687302,1564572,2232858,2873586,10000000000_2_2_SMG
2614,14964,34064,48614,62564,10000000000_2_2_PRS
50995,291923,664532,948378,1220519,10000000000_2_2_AC1
2615,14966,34068,48619,62571,10000000000_2_2_WTF
70583,404055,919789,1312665,1689340,10000000000_2_2_CV1
55374,316988,721591,1029809,1325316,10000000000_2_2_GYR
126428,723744,1647528,2351248,3025949,10000000000_2_2_CTR
127762,731380,1664910,2376054,3057873,10000000000_2_2_CTB
71281,408053,928889,1325652,1706053,10000000000_2_2_VRY
295996,1081094,1916695,2492892,3186165,10000000000_2_3_SMG
6447,23548,41747,54297,69397,10000000000_2_3_PRS
125124,456999,810224,1053794,1346854,10000000000_2_3_AC1
6447,23548,41747,54297,69397,10000000000_2_3_WTF
174082,635816,1127252,1466127,1873857,10000000000_2_3_CV1
136653,499111,884884,1150898,1470962,10000000000_2_3_GYR
312068,1139796,2020770,2628255,3359172,10000000000_2_3_CTR
315103,1150881,2040421,2653813,3391839,10000000000_2_3_CTB
175769,641978,1138176,1480335,1892016,10000000000_2_3_VRY
101647,689303,1600629,2286993,3072064,10000000000_2_4_SMG
2214,15014,34864,49815,66914,10000000000_2_4_PRS
43205,292988,680346,972085,1305779,10000000000_2_4_AC1
2214,15014,34864,49815,66914,10000000000_2_4_WTF
59600,404170,938522,1340969,1801292,10000000000_2_4_CV1
46905,318081,738614,1055339,1417612,10000000000_2_4_GYR
107192,726907,1687950,2411758,3239659,10000000000_2_4_CTR
108190,733677,1703670,2434219,3269830,10000000000_2_4_CTB
60356,409295,950423,1357973,1824134,10000000000_2_4_VRY
203437,885231,1741491,2301618,3017846,10000000000_2_5_SMG
4431,19281,37931,50131,65731,10000000000_2_5_PRS
86319,375607,738921,976584,1280482,10000000000_2_5_AC1
4431,19281,37931,50131,65731,10000000000_2_5_WTF
119390,519510,1022017,1350735,1771063,10000000000_2_5_CV1
93826,408273,803183,1061516,1391844,10000000000_2_5_GYR
214616,933874,1837185,2428091,3183675,10000000000_2_5_CTR
216526,942188,1853540,2449707,3212018,10000000000_2_5_CTB
120805,525667,1034130,1366744,1792054,10000000000_2_5_VRY
133101,691326,1564270,2246544,2977060,10000000000_3_1_SMG
2897,15047,34047,48897,64797,10000000000_3_1_PRS
56493,293422,663929,953509,1263564,10000000000_3_1_AC1
2897,15047,34047,48897,64797,10000000000_3_1_WTF
78217,406255,919237,1320173,1749458,10000000000_3_1_CV1
61375,318779,721304,1035910,1372760,10000000000_3_1_GYR
140316,728797,1649056,2368311,3138422,10000000000_3_1_CTR
141623,735585,1664416,2390371,3167655,10000000000_3_1_CTB
79031,410483,928805,1333913,1767666,10000000000_3_1_VRY
270798,824148,1439492,2008915,2695437,10000000000_3_2_SMG
5898,17947,31347,43747,58697,10000000000_3_2_PRS
115017,350044,611401,853254,1144843,10000000000_3_2_AC1
5897,17946,31344,43743,58691,10000000000_3_2_WTF
158971,483812,845046,1179323,1582341,10000000000_3_2_CV1
125033,380525,664641,927554,1244534,10000000000_3_2_GYR
284981,868797,1518019,2118792,2843111,10000000000_3_2_CTR
288192,877086,1531955,2137953,2868572,10000000000_3_2_CTB
160773,489298,854629,1192696,1600285,10000000000_3_2_VRY
93314,695188,1568135,2082714,2898230,10000000000_3_3_SMG
2031,15131,34131,45331,63081,10000000000_3_3_PRS
39682,295629,666850,885676,1232474,10000000000_3_3_AC1
2031,15131,34131,45331,63081,10000000000_3_3_WTF
54875,408813,922160,1224764,1704338,10000000000_3_3_CV1
42924,319779,721325,958026,1333154,10000000000_3_3_GYR
98231,731818,1650762,2192455,3050942,10000000000_3_3_CTR
99308,739840,1668858,2216489,3084386,10000000000_3_3_CTB
55412,412818,931194,1236762,1721034,10000000000_3_3_VRY
158339,725640,1474385,2393090,3309498,10000000000_3_4_SMG
3447,15798,32097,52097,72047,10000000000_3_4_PRS
67232,308109,626029,1016114,1405224,10000000000_3_4_AC1
3447,15796,32094,52092,72040,10000000000_3_4_WTF
92924,425851,865262,1404416,1942223,10000000000_3_4_CV1
73005,334566,679785,1103367,1525889,10000000000_3_4_GYR
167056,765589,1555554,2524837,3491696,10000000000_3_4_CTR
168527,772328,1569248,2547064,3522436,10000000000_3_4_CTB
94016,430857,875434,1420926,1965054,10000000000_3_4_VRY
313223,855639,1699141,2565627,3478081,10000000000_3_5_SMG
6815,18614,36964,55814,75664,10000000000_3_5_PRS
132916,363091,721031,1088725,1475924,10000000000_3_5_AC1
6815,18614,36964,55814,75664,10000000000_3_5_WTF
184085,502870,998607,1507852,2044113,10000000000_3_5_CV1
144565,394911,784220,1184137,1605270,10000000000_3_5_GYR
330237,902118,1791441,2704996,3667015,10000000000_3_5_CTR
333142,910054,1807200,2728791,3699274,10000000000_3_5_CTB
185869,507742,1008282,1522461,2063918,10000000000_3_5_VRY
71041,700164,1568077,2245417,3014600,10000000000_4_1_SMG
1547,15247,34147,48897,65647,10000000000_4_1_PRS
30152,297172,665542,953027,1279493,10000000000_4_1_AC1
1546,15234,34117,48853,65588,10000000000_4_1_WTF
41700,410985,920437,1318025,1769523,10000000000_4_1_CV1
32801,323280,724012,1036754,1391901,10000000000_4_1_GYR
75107,740239,1657830,2373940,3187149,10000000000_4_1_CTR
75604,745141,1668807,2389658,3208252,10000000000_4_1_CTB
42186,415773,931160,1333379,1790137,10000000000_4_1_VRY
129211,604451,1293204,1857982,2774024,10000000000_4_2_SMG
2814,13164,28164,40464,60414,10000000000_4_2_PRS
54738,257140,550477,791013,1181151,10000000000_4_2_AC1
2814,13164,28164,40464,60414,10000000000_4_2_WTF
75571,355011,759995,1092083,1630712,10000000000_4_2_CV1
59448,278097,594980,854823,1276278,10000000000_4_2_GYR
136005,636234,1361203,1955678,2919887,10000000000_4_2_CTR
137496,643209,1376127,1977119,2951899,10000000000_4_2_CTB
76327,358560,767594,1103002,1647017,10000000000_4_2_VRY
77249,1026195,1738478,2400213,3116357,10000000000_4_3_SMG
1681,22331,37832,52231,67815,10000000000_4_3_PRS
32834,436169,738915,1020175,1324562,10000000000_4_3_AC1
1681,22329,37828,52226,67808,10000000000_4_3_WTF
45400,603099,1021712,1410616,1831497,10000000000_4_3_CV1
35570,472517,800491,1105190,1434942,10000000000_4_3_GYR
81319,1080266,1830081,2526684,3280562,10000000000_4_3_CTR
82227,1092333,1850523,2554906,3317205,10000000000_4_3_CTB
45877,609440,1032453,1425446,1850752,10000000000_4_3_VRY
107893,778478,1699385,2505465,3205905,10000000000_4_4_SMG
2364,16964,37014,54564,69814,10000000000_4_4_PRS
45831,330680,721860,1064264,1361795,10000000000_4_4_AC1
2364,16964,37014,54564,69814,10000000000_4_4_WTF
63390,457373,998426,1472016,1883540,10000000000_4_4_CV1
49529,357367,780117,1150154,1471697,10000000000_4_4_GYR
114128,818974,1786930,2634194,3370420,10000000000_4_4_CTR
114800,828317,1808180,2665866,3411148,10000000000_4_4_CTB
64063,462231,1009030,1487650,1903545,10000000000_4_4_VRY
132367,683705,1487739,2110290,2918919,10000000000_4_5_SMG
2881,14881,32381,45931,63531,10000000000_4_5_PRS
56198,290275,631638,895949,1239262,10000000000_4_5_AC1
2881,14881,32381,45931,63531,10000000000_4_5_WTF
77800,401854,874433,1240344,1715623,10000000000_4_5_CV1
60999,315070,685590,972479,1345116,10000000000_4_5_GYR
139186,718926,1564380,2219002,3069287,10000000000_4_5_CTR
140799,727257,1582507,2244715,3104853,10000000000_4_5_CTB
78602,405997,883448,1253131,1733309,10000000000_4_5_VRY
166027,825263,1197376,1934710,2497472,10000000000_5_1_SMG
3614,17964,26064,42114,54364,10000000000_5_1_PRS
70475,350305,508257,821238,1060117,10000000000_5_1_AC1
3614,17964,26064,42114,54364,10000000000_5_1_WTF
97585,485059,703772,1137149,1467920,10000000000_5_1_CV1
76479,380152,551563,891211,1150444,10000000000_5_1_GYR
174668,868216,1259695,2035405,2627458,10000000000_5_1_CTR
176639,878012,1273908,2058371,2657103,10000000000_5_1_CTB
98600,490107,711097,1148984,1483198,10000000000_5_1_VRY
141527,961470,1202629,1946779,3406002,10000000000_5_2_SMG
3081,20931,26181,42382,74148,10000000000_5_2_PRS
60099,408287,510695,826697,1446353,10000000000_5_2_AC1
3081,20931,26181,42382,74148,10000000000_5_2_WTF
82863,562935,704133,1139828,1994195,10000000000_5_2_CV1
65386,444201,555617,899415,1573579,10000000000_5_2_GYR
149334,1014510,1268974,2054176,3593898,10000000000_5_2_CTR
150542,1022716,1279237,2070790,3622966,10000000000_5_2_CTB
84025,570826,714003,1155806,2022149,10000000000_5_2_VRY
156027,1207837,1970285,2583458,3371214,10000000000_5_3_SMG
3397,26297,42897,56247,73398,10000000000_5_3_PRS
66263,512957,836762,1097171,1431723,10000000000_5_3_AC1
3397,26297,42897,56247,73398,10000000000_5_3_WTF
91754,710283,1158649,1519233,1982481,10000000000_5_3_CV1
71967,557113,908791,1191616,1554967,10000000000_5_3_GYR
164314,1271994,2074941,2720684,3550283,10000000000_5_3_CTR
166015,1285162,2096421,2748850,3587037,10000000000_5_3_CTB
92661,717310,1170112,1534263,2002094,10000000000_5_3_VRY
137683,771655,1683565,2441575,3238634,10000000000_5_4_SMG
2997,16798,36647,53147,70497,10000000000_5_4_PRS
58437,327516,714560,1036284,1374583,10000000000_5_4_AC1
2997,16798,36647,53147,70497,10000000000_5_4_WTF
80925,453551,989538,1435069,1903552,10000000000_5_4_CV1
63506,355926,776543,1126175,1493818,10000000000_5_4_GYR
144923,812232,1772094,2569963,3408936,10000000000_5_4_CTR
146482,820972,1791163,2597619,3445619,10000000000_5_4_CTB
81767,458271,999835,1450002,1923360,10000000000_5_4_VRY
99424,804672,1725859,2350704,3051358,10000000000_5_5_SMG
2164,17515,37564,51164,66414,10000000000_5_5_PRS
42221,341702,732882,998221,1295751,10000000000_5_5_AC1
2164,17515,37564,51164,66414,10000000000_5_5_WTF
58384,472522,1013464,1380388,1791828,10000000000_5_5_CV1
45794,370627,794920,1082719,1405435,10000000000_5_5_GYR
104546,846125,1814767,2471801,3208549,10000000000_5_5_CTR
105768,856017,1835984,2500700,3246061,10000000000_5_5_CTB
59035,477784,1024750,1395759,1811780,10000000000_5_5_VRY
130818,751132,1665520,2533959,3452943,10000000000_6_1_SMG
2847,16347,36247,55147,75147,10000000000_6_1_PRS
55535,318870,707045,1075714,1465839,10000000000_6_1_AC1
2847,16347,36247,55147,75147,10000000000_6_1_WTF
76773,440816,977441,1487101,2026423,10000000000_6_1_CV1
60297,346215,767678,1167962,1591543,10000000000_6_1_GYR
137557,789828,1751323,2664502,3630830,10000000000_6_1_CTR
139165,799061,1771796,2695650,3673274,10000000000_6_1_CTB
77683,446039,989024,1504724,2050437,10000000000_6_1_VRY
101680,604568,1477159,2140787,2900859,10000000000_6_2_SMG
2214,13164,32164,46614,63164,10000000000_6_2_PRS
43166,256651,627084,908807,1231473,10000000000_6_2_AC1
2213,13158,32148,46591,63133,10000000000_6_2_WTF
59789,355489,868575,1258791,1705717,10000000000_6_2_CV1
46929,279029,681758,988045,1338844,10000000000_6_2_GYR
107082,636685,1555631,2254514,3054964,10000000000_6_2_CTR
108190,643272,1571726,2277839,3086571,10000000000_6_2_CTB
60380,359006,877170,1271247,1722595,10000000000_6_2_VRY
212835,1030897,1713381,2343014,3041584,10000000000_6_3_SMG
4631,22431,37281,50981,66181,10000000000_6_3_PRS
90617,437795,727435,994645,1291111,10000000000_6_3_AC1
4631,22431,37281,50981,66181,10000000000_6_3_WTF
125173,606294,1007679,1377980,1788825,10000000000_6_3_CV1
98051,474922,789335,1079399,1401222,10000000000_6_3_GYR
223753,1083782,1801279,2463211,3197618,10000000000_6_3_CTR
226437,1096782,1822884,2492756,3235972,10000000000_6_3_CTB
126373,612107,1017340,1391191,1805975,10000000000_6_3_VRY
101542,688595,1608158,2300697,3013875,10000000000_6_4_SMG
2214,15014,35064,50164,65714,10000000000_6_4_PRS
43183,292838,683898,978413,1281704,10000000000_6_4_AC1
2214,15014,35064,50164,65714,10000000000_6_4_WTF
59697,404829,945446,1352593,1771874,10000000000_6_4_CV1
46891,317984,742625,1062429,1391764,10000000000_6_4_GYR
106919,725056,1693310,2422519,3173459,10000000000_6_4_CTR
108146,733380,1712750,2450331,3209892,10000000000_6_4_CTB
60362,409334,955967,1367646,1791593,10000000000_6_4_VRY
179064,1100343,1964186,2880870,3482849,20000000000_1_1_SMG
3897,23947,42747,62697,75798,20000000000_1_1_PRS
75985,466927,833495,1222487,1477934,20000000000_1_1_AC1
3897,23947,42747,62697,75798,20000000000_1_1_WTF
105280,646940,1154830,1693789,2047718,20000000000_1_1_CV1
82468,506764,904607,1326786,1604028,20000000000_1_1_GYR
188499,1158323,2067684,3032670,3666369,20000000000_1_1_CTR
190394,1169964,2088463,3063147,3703215,20000000000_1_1_CTB
106300,653209,1166021,1710203,2067562,20000000000_1_1_VRY
88719,692886,1251108,1937975,2578897,20000000000_1_2_SMG
1931,15081,27231,42182,56131,20000000000_1_2_PRS
37774,295013,532690,825140,1098028,20000000000_1_2_AC1
1932,15083,27234,42186,56137,20000000000_1_2_WTF
52152,407299,735439,1139199,1515952,20000000000_1_2_CV1
40868,319176,576320,892723,1187962,20000000000_1_2_GYR
93357,729107,1316512,2039285,2713712,20000000000_1_2_CTR
94352,736877,1330542,2061018,2742633,20000000000_1_2_CTB
52662,411286,742638,1150352,1530793,20000000000_1_2_VRY
169836,1122798,1949463,2743981,3481137,20000000000_1_3_SMG
3714,24464,42464,59764,75815,20000000000_1_3_PRS
72425,477057,828063,1165420,1478420,20000000000_1_3_AC1
3714,24464,42464,59764,75815,20000000000_1_3_WTF
99865,660211,1146294,1613474,2046925,20000000000_1_3_CV1
79013,520451,903386,1271429,1612900,20000000000_1_3_GYR
179374,1181531,2050871,2886404,3661614,20000000000_1_3_CTR
180691,1194559,2074059,2919356,3703626,20000000000_1_3_CTB
100832,666607,1157400,1629107,2066757,20000000000_1_3_VRY
154559,749544,1590333,2258830,3053675,20000000000_1_4_SMG
3364,16314,34614,49164,66464,20000000000_1_4_PRS
65626,318259,675261,959107,1296601,20000000000_1_4_AC1
3364,16314,34614,49164,66464,20000000000_1_4_WTF
90779,440239,934069,1326705,1793551,20000000000_1_4_CV1
71283,345691,733464,1041776,1408359,20000000000_1_4_GYR
162586,788475,1672935,2376153,3212282,20000000000_1_4_CTR
164486,797688,1692484,2403919,3249818,20000000000_1_4_CTB
91771,445048,944273,1341199,1813144,20000000000_1_4_VRY
120891,823629,1744536,2426605,3345216,20000000000_1_5_SMG
2648,17948,37998,52848,72848,20000000000_1_5_PRS
51780,350956,743014,1033391,1424471,20000000000_1_5_AC1
2648,17948,37998,52848,72848,20000000000_1_5_WTF
71064,484154,1025490,1426430,1966417,20000000000_1_5_CV1
55660,379208,803204,1117235,1540174,20000000000_1_5_GYR
126386,861067,1823834,2536907,3497273,20000000000_1_5_CTR
128644,876450,1856417,2582228,3559752,20000000000_1_5_CTB
71752,488846,1035430,1440256,1985477,20000000000_1_5_VRY
126295,804183,1725651,2520734,3484347,20000000000_2_1_SMG
2748,17498,37548,54848,75815,20000000000_2_1_PRS
53604,341324,732427,1069888,1478879,20000000000_2_1_AC1
2748,17498,37548,54848,75815,20000000000_2_1_WTF
74224,472624,1014177,1481453,2047774,20000000000_2_1_CV1
58277,371081,796282,1163164,1607812,20000000000_2_1_GYR
132896,846217,1815850,2652491,3666471,20000000000_2_1_CTR
134380,855669,1836133,2682119,3707425,20000000000_2_1_CTB
74959,477302,1024215,1496115,2068042,20000000000_2_1_VRY
84141,722895,1524783,2140559,2868922,20000000000_2_2_SMG
1831,15731,33181,46581,62431,20000000000_2_2_PRS
35706,306760,647041,908346,1217426,20000000000_2_2_AC1
1833,15741,33202,46610,62470,20000000000_2_2_WTF
49456,424895,896219,1258153,1686261,20000000000_2_2_CV1
38795,333303,703026,986940,1322764,20000000000_2_2_GYR
88540,760685,1604493,2252460,3018898,20000000000_2_2_CTR
89537,769255,1622570,2277838,3052912,20000000000_2_2_CTB
49950,429143,905180,1270733,1703121,20000000000_2_2_VRY
172102,801350,1713070,2303277,3061131,20000000000_2_3_SMG
3747,17447,37297,50147,66647,20000000000_2_3_PRS
73113,340431,727749,978481,1300433,20000000000_2_3_AC1
3749,17455,37313,50168,66675,20000000000_2_3_WTF
101207,471245,1007394,1354473,1800138,20000000000_2_3_CV1
79117,368389,787515,1058839,1407232,20000000000_2_3_GYR
180968,842632,1801319,2421931,3218825,20000000000_2_3_CTR
183158,852828,1823116,2451237,3257774,20000000000_2_3_CTB
102188,475811,1017156,1367599,1817583,20000000000_2_3_VRY
108558,707830,1539004,2170420,2937304,20000000000_2_4_SMG
2364,15414,33514,47264,63964,20000000000_2_4_PRS
46099,300579,653535,921665,1247321,20000000000_2_4_AC1
2364,15414,33514,47264,63964,20000000000_2_4_WTF
63548,414347,900896,1270512,1719428,20000000000_2_4_CV1
50206,327354,711750,1003764,1358429,20000000000_2_4_GYR
114512,746654,1623416,2289465,3098412,20000000000_2_4_CTR
115520,753223,1637700,2309610,3125674,20000000000_2_4_CTB
64471,420366,913984,1288969,1744407,20000000000_2_4_VRY
120928,750617,1554964,2193845,3110801,20000000000_2_5_SMG
2631,16332,33831,47731,67681,20000000000_2_5_PRS
51410,319108,661059,932665,1322488,20000000000_2_5_AC1
2632,16333,33835,47736,67689,20000000000_2_5_WTF
71050,441012,913592,1288955,1827696,20000000000_2_5_CV1
55610,345176,715059,1008853,1430520,20000000000_2_5_GYR
127211,789617,1635755,2307831,3272429,20000000000_2_5_CTR
128620,798359,1653864,2333380,3308657,20000000000_2_5_CTB
71760,445422,922727,1301843,1845971,20000000000_2_5_VRY
78061,990607,1831896,2436428,3195013,20000000000_3_1_SMG
1698,21549,39848,52998,69499,20000000000_3_1_PRS
33122,420322,777287,1033794,1355668,20000000000_3_1_AC1
1698,21549,39848,52998,69499,20000000000_3_1_WTF
45812,581358,1075085,1429867,1875058,20000000000_3_1_CV1
36032,457249,845575,1124618,1474770,20000000000_3_1_GYR
82318,1044624,1931788,2569285,3369235,20000000000_3_1_CTR
83042,1053820,1948794,2591904,3398896,20000000000_3_1_CTB
46331,587949,1087274,1446079,1896318,20000000000_3_1_VRY
162948,847447,1642201,2264682,2997418,20000000000_3_2_SMG
3547,18447,35747,49297,65247,20000000000_3_2_PRS
69204,359908,697437,961802,1272993,20000000000_3_2_AC1
3547,18447,35747,49297,65247,20000000000_3_2_WTF
95777,498107,965241,1331118,1761800,20000000000_3_2_CV1
75108,390613,756937,1043857,1381595,20000000000_3_2_GYR
171817,893573,1731584,2387946,3160563,20000000000_3_2_CTR
173346,901526,1746996,2409200,3188694,20000000000_3_2_CTB
96705,502933,974593,1344015,1778870,20000000000_3_2_VRY
116274,816856,1616208,2525816,3162082,20000000000_3_3_SMG
2531,17781,35181,54981,68831,20000000000_3_3_PRS
49371,346844,686256,1072483,1342647,20000000000_3_3_AC1
2531,17781,35181,54981,68831,20000000000_3_3_WTF
68329,480025,949763,1484294,1858195,20000000000_3_3_CV1
53578,376395,744724,1163858,1457039,20000000000_3_3_GYR
122377,859732,1701041,2658393,3328056,20000000000_3_3_CTR
